                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73591,                   0.49,                      1,                0.69924,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                0.64794,                   0.78,                      1,                0.60837,             8.3631e-05,             8.3631e-05,             8.3631e-05
                      3,                0.54106,                   0.85,                      1,                0.57415,             0.00011453,             0.00011453,             0.00011453
                      4,                0.48052,                   0.93,                      1,                0.53823,             0.00013552,             0.00013552,             0.00013552
                      5,                0.42195,                   0.96,                      1,                 0.4902,             0.00014663,             0.00014663,             0.00014663
                      6,                0.34887,                   0.99,                      1,                0.47242,             0.00014783,             0.00014783,             0.00014783
                      7,                0.29292,                   0.99,                      1,                0.42267,             0.00013914,             0.00013914,             0.00013914
                      8,                0.23458,                   0.99,                      1,                0.40433,             0.00012056,             0.00012056,             0.00012056
                      9,                0.23015,                   0.99,                      1,                0.38583,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     10,                0.27355,                   0.99,                      1,                0.41839,               5.37e-05,               5.37e-05,               5.37e-05
